Time(s),TC9/u,B1V1/u,B2V1/u
2.22,5150.23842134007,5667.470387962934,5301.47389192806
2.23,5150.23842134007,5667.470387962935,5301.47389192806
2.24,5150.23842134007,5667.470387962934,5301.47389192806
2.25,5150.23842134007,5667.470387962934,5301.47389192806
2.2600000000000002,5150.23842134007,5667.470387962934,5301.47389192806
2.27,5150.23842134007,5667.470387962934,5301.47389192806
2.2800000000000002,5150.23842134007,5667.470387962934,5301.47389192806
2.29,5150.23842134007,5667.470387962934,5301.47389192806
2.3000000000000003,5150.23842134007,5667.470387962934,5301.47389192806
2.31,5150.23842134007,5667.470387962934,5301.47389192806
2.32,5150.23842134007,5667.470387962934,5301.47389192806
2.33,5150.23842134007,5667.470387962934,5301.47389192806
2.34,5150.23842134007,5667.470387962935,5301.47389192806
2.35,5150.23842134007,5667.470387962934,5301.47389192806
2.36,5150.23842134007,5667.470387962934,5301.47389192806
2.37,5150.23842134007,5667.470387962934,5301.47389192806
2.38,5150.23842134007,5667.470387962934,5301.47389192806
2.39,5150.23842134007,5667.470387962934,5301.47389192806
2.4,5150.23842134007,5667.470387962934,5301.47389192806
2.41,5150.23842134007,5667.470387962934,5301.47389192806
2.42,5150.23842134007,5667.470387962935,5301.47389192806
2.43,5150.23842134007,5667.470387962934,5301.47389192806
2.44,5150.23842134007,5667.470387962934,5301.47389192806
2.45,5150.23842134007,5667.470387962934,5301.47389192806
2.46,5150.23842134007,5667.470387962934,5301.47389192806
2.47,5150.23842134007,5667.470387962934,5301.47389192806
2.48,5150.23842134007,5667.470387962934,5301.47389192806
2.49,5150.23842134007,5667.470387962934,5301.47389192806
2.5,5150.23842134007,5667.470387962934,5301.47389192806
2.5100000000000002,5150.23842134007,5667.470387962934,5301.47389192806
2.52,5150.23842134007,5667.470387962934,5301.47389192806
2.5300000000000002,5150.23842134007,5667.470387962934,5301.47389192806
2.54,5150.23842134007,5667.470387962934,5301.47389192806
2.5500000000000003,5150.23842134007,5667.470387962934,5301.47389192806
2.56,5150.23842134007,5667.470387962935,5301.47389192806
2.57,5150.23842134007,5667.470387962934,5301.47389192806
2.58,5150.23842134007,5667.470387962934,5301.47389192806
2.59,5150.23842134007,5667.470387962934,5301.47389192806
2.6,5150.23842134007,5667.470387962934,5301.47389192806
2.61,5150.23842134007,5667.470387962934,5301.47389192806
2.62,5150.23842134007,5667.470387962934,5301.47389192806
2.63,5150.23842134007,5667.470387962934,5301.47389192806
2.64,5150.23842134007,5667.470387962934,5301.47389192806
2.65,5150.23842134007,5667.470387962934,5301.47389192806
2.66,5150.23842134007,5667.470387962934,5301.47389192806
2.67,5150.23842134007,5667.470387962934,5301.47389192806
2.68,5150.23842134007,5667.470387962934,5301.47389192806
2.69,5150.23842134007,5667.470387962934,5301.47389192806
2.7,5150.23842134007,5667.470387962934,5301.47389192806
2.71,5150.23842134007,5667.470387962934,5301.47389192806
2.72,5150.23842134007,5667.470387962934,5301.47389192806
2.73,5150.23842134007,5667.470387962934,5301.47389192806
2.74,5150.23842134007,5667.470387962934,5301.47389192806
2.75,5150.23842134007,5667.470387962934,5301.47389192806
2.7600000000000002,5150.23842134007,5667.470387962934,5301.47389192806
2.77,5150.23842134007,5667.470387962934,5301.47389192806
2.7800000000000002,5150.23842134007,5667.470387962934,5301.47389192806
2.79,5150.23842134007,5667.470387962934,5301.47389192806
2.8000000000000003,5150.23842134007,5667.470387962934,5301.47389192806
2.81,5150.23842134007,5667.470387962934,5301.47389192806
2.82,5150.23842134007,5667.470387962934,5301.47389192806
2.83,5150.23842134007,5667.470387962934,5301.47389192806
2.84,5150.23842134007,5667.470387962934,5301.47389192806
2.85,5150.23842134007,5667.470387962934,5301.47389192806
2.86,5150.23842134007,5667.470387962934,5301.47389192806
2.87,5150.23842134007,5667.470387962934,5301.47389192806
2.88,5150.23842134007,5667.470387962935,5301.47389192806
2.89,5150.23842134007,5667.470387962934,5301.47389192806
2.9,5150.23842134007,5667.470387962934,5301.47389192806
2.91,5150.23842134007,5667.470387962934,5301.47389192806
2.92,5150.23842134007,5667.470387962934,5301.47389192806
2.93,5150.23842134007,5667.470387962934,5301.47389192806
2.94,5150.23842134007,5667.470387962934,5301.47389192806
2.95,5150.23842134007,5667.470387962934,5301.47389192806
2.96,5150.23842134007,5667.470387962934,5301.47389192806
2.97,5150.23842134007,5667.470387962934,5301.47389192806
2.98,5150.23842134007,5667.470387962934,5301.47389192806
2.99,5150.23842134007,5667.470387962934,5301.47389192806
3.0,5150.23842134007,5667.470387962934,5301.47389192806
3.0100000000000002,5150.23842134007,5667.470387962934,5301.47389192806
3.02,5150.23842134007,5667.470387962934,5301.47389192806
3.0300000000000002,5150.23842134007,5667.470387962934,5301.47389192806
3.04,5150.23842134007,5667.470387962934,5301.47389192806
3.0500000000000003,5150.23842134007,5667.470387962935,5301.47389192806
3.06,5150.23842134007,5667.470387962934,5301.47389192806
3.0700000000000003,5150.23842134007,5667.470387962934,5301.47389192806
3.08,5150.23842134007,5667.470387962935,5301.47389192806
3.09,5150.23842134007,5667.470387962934,5301.47389192806
3.1,5150.23842134007,5667.470387962934,5301.47389192806
3.11,5150.23842134007,5667.470387962934,5301.47389192806
3.12,5150.23842134007,5667.470387962934,5301.47389192806
3.13,5150.23842134007,5667.470387962934,5301.47389192806
3.14,5150.23842134007,5667.470387962935,5301.47389192806
3.15,5150.23842134007,5667.470387962934,5301.47389192806
3.16,5150.23842134007,5667.470387962934,5301.47389192806
3.17,5150.23842134007,5667.470387962935,5301.47389192806
3.18,5150.23842134007,5667.470387962934,5301.47389192806
3.19,5150.23842134007,5667.470387962934,5301.47389192806
3.2,5150.23842134007,5667.470387962934,5301.47389192806
3.21,5150.23842134007,5667.470387962934,5301.47389192806
3.22,5150.23842134007,5667.470387962934,5301.47389192806
3.23,5150.23842134007,5667.470387962934,5301.47389192806
3.24,5150.23842134007,5667.470387962934,5301.47389192806
3.25,5150.23842134007,5667.470387962934,5301.47389192806
3.2600000000000002,5150.23842134007,5667.470387962934,5301.47389192806
3.27,5150.23842134007,5667.470387962934,5301.47389192806
3.2800000000000002,5150.23842134007,5667.470387962934,5301.47389192806
3.29,5150.23842134007,5667.470387962934,5301.47389192806
3.3000000000000003,5150.23842134007,5667.470387962934,5301.47389192806
3.31,5150.23842134007,5667.470387962934,5301.47389192806
3.3200000000000003,5150.23842134007,5667.470387962934,5301.47389192806
3.33,5150.23842134007,5667.470387962934,5301.47389192806
3.34,5150.23842134007,5667.470387962934,5301.47389192806
3.35,5150.23842134007,5667.470387962934,5301.47389192806
3.36,5150.23842134007,5667.470387962934,5301.47389192806
3.37,5150.23842134007,5667.470387962934,5301.47389192806
3.38,5150.23842134007,5667.470387962934,5301.47389192806
3.39,5150.23842134007,5667.470387962934,5301.47389192806
3.4,5150.23842134007,5667.470387962934,5301.47389192806
3.41,5150.23842134007,5667.470387962934,5301.47389192806
3.42,5150.23842134007,5667.470387962934,5301.47389192806
3.43,5150.23842134007,5667.470387962935,5301.47389192806
3.44,5150.23842134007,5667.470387962934,5301.47389192806
3.45,5150.23842134007,5667.470387962934,5301.47389192806
3.46,5150.23842134007,5667.470387962935,5301.47389192806
3.47,5150.23842134007,5667.470387962934,5301.47389192806
3.48,5150.23842134007,5667.470387962934,5301.47389192806
3.49,5150.23842134007,5667.470387962934,5301.47389192806
3.5,5150.23842134007,5667.470387962934,5301.47389192806
3.5100000000000002,5150.23842134007,5667.470387962934,5301.47389192806
3.52,5150.23842134007,5667.470387962934,5301.47389192806
3.5300000000000002,5150.23842134007,5667.470387962934,5301.47389192806
3.54,5150.23842134007,5667.470387962934,5301.47389192806
3.5500000000000003,5150.23842134007,5667.470387962934,5301.47389192806
3.56,5150.23842134007,5667.470387962934,5301.47389192806
3.5700000000000003,5150.23842134007,5667.470387962935,5301.47389192806
3.58,5150.23842134007,5667.470387962934,5301.47389192806
3.59,5150.23842134007,5667.470387962934,5301.47389192806
3.6,5150.23842134007,5667.470387962934,5301.47389192806
3.61,5150.23842134007,5667.470387962934,5301.47389192806
3.62,5150.23842134007,5667.470387962934,5301.47389192806
3.63,5150.23842134007,5667.470387962934,5301.47389192806
3.64,5150.23842134007,5667.470387962934,5301.47389192806
3.65,5150.23842134007,5667.470387962934,5301.47389192806
3.66,5150.23842134007,5667.470387962934,5301.47389192806
3.67,5150.23842134007,5667.470387962934,5301.47389192806
3.68,5150.23842134007,5667.470387962934,5301.47389192806
3.69,5150.23842134007,5667.470387962934,5301.47389192806
3.7,5150.23842134007,5667.470387962934,5301.47389192806
3.71,5150.23842134007,5667.470387962934,5301.47389192806
3.72,5150.23842134007,5667.470387962934,5301.47389192806
3.73,5150.23842134007,5667.470387962934,5301.47389192806
3.74,5150.23842134007,5667.470387962934,5301.47389192806
3.75,5150.23842134007,5667.470387962934,5301.47389192806
3.7600000000000002,5150.23842134007,5667.470387962934,5301.47389192806
3.77,5150.23842134007,5667.470387962935,5301.47389192806
3.7800000000000002,5150.23842134007,5667.470387962934,5301.47389192806
3.79,5150.23842134007,5667.470387962934,5301.47389192806
3.8000000000000003,5150.23842134007,5667.470387962935,5301.47389192806
3.81,5150.23842134007,5667.470387962934,5301.47389192806
3.8200000000000003,5150.23842134007,5667.470387962934,5301.47389192806
3.83,5150.23842134007,5667.470387962935,5301.47389192806
3.84,5150.23842134007,5667.470387962934,5301.47389192806
3.85,5150.23842134007,5667.470387962934,5301.47389192806
3.86,5150.23842134007,5667.470387962934,5301.47389192806
3.87,5150.23842134007,5667.470387962934,5301.47389192806
3.88,5150.23842134007,5667.470387962934,5301.47389192806
3.89,5150.23842134007,5667.470387962934,5301.47389192806
3.9,5150.23842134007,5667.470387962934,5301.47389192806
3.91,5150.23842134007,5667.470387962934,5301.47389192806
3.92,5150.23842134007,5667.470387962934,5301.47389192806
3.93,5150.23842134007,5667.470387962934,5301.47389192806
3.94,5150.23842134007,5667.470387962934,5301.47389192806
3.95,5150.23842134007,5667.470387962934,5301.47389192806
3.96,5150.23842134007,5667.470387962934,5301.47389192806
3.97,5150.23842134007,5667.470387962935,5301.47389192806
3.98,5150.23842134007,5667.470387962934,5301.47389192806
3.99,5150.23842134007,5667.470387962934,5301.47389192806
4.0,5150.23842134007,5667.470387962935,5301.47389192806
4.01,5150.23842134007,5667.470387962934,5301.47389192806
4.0200000000000005,5150.23842134007,5667.470387962934,5301.47389192806
4.03,5150.23842134007,5667.470387962935,5301.47389192806
4.04,5150.23842134007,5667.470387962934,5301.47389192806
4.05,5150.23842134007,5667.470387962934,5301.47389192806
4.0600000000000005,5150.23842134007,5667.470387962934,5301.47389192806
4.07,5150.23842134007,5667.470387962934,5301.47389192806
4.08,5150.23842134007,5667.470387962934,5301.47389192806
4.09,5150.23842134007,5667.470387962934,5301.47389192806
4.1,5150.23842134007,5667.470387962934,5301.47389192806
4.11,5150.23842134007,5667.470387962934,5301.47389192806
4.12,5150.23842134007,5667.470387962934,5301.47389192806
4.13,5150.23842134007,5667.470387962934,5301.47389192806
4.14,5150.23842134007,5667.470387962934,5301.47389192806
4.15,5150.23842134007,5667.470387962934,5301.47389192806
4.16,5150.23842134007,5667.470387962934,5301.47389192806
4.17,5150.23842134007,5667.470387962934,5301.47389192806
4.18,5150.23842134007,5667.470387962934,5301.47389192806
4.19,5150.23842134007,5667.470387962934,5301.47389192806
4.2,5150.23842134007,5667.470387962934,5301.47389192806
4.21,5150.23842134007,5667.470387962934,5301.47389192806
4.22,5150.23842134007,5667.470387962934,5301.47389192806
4.23,5150.23842134007,5667.470387962934,5301.47389192806
4.24,5150.23842134007,5667.470387962934,5301.47389192806
4.25,5150.23842134007,5667.470387962934,5301.47389192806
4.26,5150.23842134007,5667.470387962934,5301.47389192806
4.2700000000000005,5150.23842134007,5667.470387962934,5301.47389192806
4.28,5150.23842134007,5667.470387962934,5301.47389192806
4.29,5150.23842134007,5667.470387962935,5301.47389192806
4.3,5150.23842134007,5667.470387962934,5301.47389192806
4.3100000000000005,5150.23842134007,5667.470387962934,5301.47389192806
4.32,5150.23842134007,5667.470387962934,5301.47389192806
4.33,5150.23842134007,5667.470387962934,5301.47389192806
4.34,5150.23842134007,5667.470387962934,5301.47389192806
4.3500000000000005,5150.23842134007,5667.470387962934,5301.47389192806
4.36,5150.23842134007,5667.470387962934,5301.47389192806
4.37,5150.23842134007,5667.470387962934,5301.47389192806
4.38,5150.23842134007,5667.470387962934,5301.47389192806
4.39,5150.23842134007,5667.470387962934,5301.47389192806
4.4,5150.23842134007,5667.470387962934,5301.47389192806
4.41,5150.23842134007,5667.470387962934,5301.47389192806
4.42,5150.23842134007,5667.470387962934,5301.47389192806
4.43,5150.23842134007,5667.470387962934,5301.47389192806
4.44,5150.23842134007,5667.470387962934,5301.47389192806
4.45,5150.23842134007,5667.470387962934,5301.47389192806
4.46,5150.23842134007,5667.470387962934,5301.47389192806
4.47,5150.23842134007,5667.470387962934,5301.47389192806
4.48,5150.23842134007,5667.470387962934,5301.47389192806
4.49,5150.23842134007,5667.470387962934,5301.47389192806
4.5,5150.23842134007,5667.470387962934,5301.47389192806
4.51,5150.23842134007,5667.470387962934,5301.47389192806
4.5200000000000005,5150.23842134007,5667.470387962934,5301.47389192806
4.53,5150.23842134007,5667.470387962934,5301.47389192806
4.54,5150.23842134007,5667.470387962934,5301.473891928059
4.55,5150.23842134007,5667.470387962935,5301.47389192806
4.5600000000000005,5150.23842134007,5667.470387962934,5301.47389192806
4.57,5150.23842134007,5667.470387962934,5301.47389192806
4.58,5150.23842134007,5667.470387962934,5301.47389192806
4.59,5150.23842134007,5667.470387962934,5301.47389192806
4.6000000000000005,5150.23842134007,5667.470387962934,5301.47389192806
4.61,5150.23842134007,5667.470387962935,5301.47389192806
4.62,5150.23842134007,5667.470387962934,5301.47389192806
4.63,5150.23842134007,5667.470387962934,5301.47389192806
