Time,TC1/v (m3_per_s),TC2/v (m3_per_s),TC3/v (m3_per_s),TC4/v (m3_per_s),TC5/v (m3_per_s),TC9/v (m3_per_s)
0.66,4.609188599749732e-13,5.364771488305593e-13,1.678050657635885e-13,1.3713524182751212e-12,3.3999944587388603e-13,8.934458852251148e-13
0.67,4.609188934576268e-13,5.364771878500814e-13,1.6780507712057e-13,1.3713525016567822e-12,3.3999946459964365e-13,8.934459428180572e-13
0.68,4.609189200060774e-13,5.36477218788725e-13,1.6780508612553868e-13,1.3713525677702321e-12,3.399994794473243e-13,8.934459884835917e-13
0.6900000000000001,4.609189410563865e-13,5.364772433200249e-13,1.6780509326559224e-13,1.37135262019169e-12,3.399994912200729e-13,8.934460246918646e-13
0.7000000000000001,4.609189577472101e-13,5.364772627709309e-13,1.6780509892695173e-13,1.3713526617567448e-12,3.399995005547031e-13,8.934460534014606e-13
0.71,4.609189709813893e-13,5.364772781935841e-13,1.6780510341585253e-13,1.3713526947137417e-12,3.399995079561457e-13,8.93446076165344e-13
0.72,4.609189814747911e-13,5.364772904222308e-13,1.67805106975109e-13,1.3713527208453953e-12,3.399995138247614e-13,8.934460942148622e-13
0.73,4.609189897950269e-13,5.364773001183433e-13,1.6780510979724897e-13,1.371352741565225e-12,3.3999951847799555e-13,8.934461085263532e-13
0.74,4.609189963921534e-13,5.36477307806406e-13,1.6780511203492787e-13,1.3713527579940087e-12,3.3999952216755213e-13,8.934461198739567e-13
0.75,4.609190016230248e-13,5.364773139022833e-13,1.6780511380918735e-13,1.3713527710204181e-12,3.3999952509300743e-13,8.934461288714891e-13
0.76,4.609190057705914e-13,5.364773187357135e-13,1.6780511521600029e-13,1.3713527813490765e-12,3.3999952741260533e-13,8.934461360056465e-13
0.77,4.609190090592034e-13,5.364773225681483e-13,1.678051163314644e-13,1.3713527895386864e-12,3.399995292518182e-13,8.934461416623308e-13
0.78,4.609190116667492e-13,5.364773256068911e-13,1.6780511721591775e-13,1.3713527960322414e-12,3.39999530710133e-13,8.934461461475244e-13
0.79,4.609190137342769e-13,5.364773280163154e-13,1.678051179172021e-13,1.371352801180991e-12,3.399995318664329e-13,8.934461497038416e-13
0.8,4.609190153736212e-13,5.364773299267517e-13,1.6780511847325154e-13,1.3713528052634421e-12,3.399995327832647e-13,8.934461525236511e-13
0.81,4.60919016673461e-13,5.364773314415389e-13,1.6780511891414393e-13,1.3713528085004248e-12,3.399995335102224e-13,8.934461547594824e-13
0.8200000000000001,4.60919017704106e-13,5.364773326426168e-13,1.6780511926372836e-13,1.3713528110670324e-12,3.3999953408662805e-13,8.934461565322764e-13
0.8300000000000001,4.609190185213048e-13,5.364773335949532e-13,1.6780511954091424e-13,1.3713528131021005e-12,3.3999953454366104e-13,8.934461579379276e-13
0.84,4.609190191692648e-13,5.364773343500622e-13,1.6780511976069528e-13,1.3713528147157083e-12,3.3999953490604334e-13,8.934461590524706e-13
0.85,4.609190196830316e-13,5.364773349487889e-13,1.6780511993496024e-13,1.3713528159951406e-12,3.399995351933767e-13,8.934461599361933e-13
0.86,4.609190200903996e-13,5.364773354235204e-13,1.67805120073135e-13,1.3713528170096051e-12,3.39999535421204e-13,8.934461606368985e-13
0.87,4.609190204134014e-13,5.364773357999356e-13,1.6780512018269414e-13,1.3713528178139755e-12,3.399995356018483e-13,8.934461611924889e-13
0.88,4.609190206695096e-13,5.36477336098396e-13,1.6780512026956366e-13,1.3713528184517616e-12,3.3999953574508165e-13,8.934461616330172e-13
0.89,4.609190208725796e-13,5.364773363350459e-13,1.678051203384426e-13,1.3713528189574636e-12,3.3999953585865157e-13,8.934461619823128e-13
0.9,4.609190210335933e-13,5.364773365226854e-13,1.6780512039305691e-13,1.3713528193584352e-12,3.3999953594870127e-13,8.934461622592699e-13
0.91,4.609190211612606e-13,5.364773366714657e-13,1.6780512043636066e-13,1.3713528196763664e-12,3.39999536020102e-13,8.934461624788697e-13
0.92,4.609190212624897e-13,5.364773367894334e-13,1.678051204706964e-13,1.371352819928454e-12,3.3999953607671555e-13,8.934461626529903e-13
0.93,4.609190213427531e-13,5.364773368829702e-13,1.6780512049792096e-13,1.3713528201283345e-12,3.399995361216044e-13,8.934461627910512e-13
0.9400000000000001,4.609190214063946e-13,5.364773369571366e-13,1.6780512051950776e-13,1.371352820286821e-12,3.399995361571969e-13,8.934461629005196e-13
0.9500000000000001,4.60919021456856e-13,5.364773370159423e-13,1.678051205366236e-13,1.3713528204124846e-12,3.3999953618541836e-13,8.934461629873175e-13
0.96,4.60919021496867e-13,5.364773370625692e-13,1.678051205501948e-13,1.3713528205121235e-12,3.3999953620779525e-13,8.934461630561397e-13
0.97,4.609190215285917e-13,5.364773370995399e-13,1.678051205609554e-13,1.3713528205911276e-12,3.39999536225538e-13,8.934461631107088e-13
0.98,4.609190215537463e-13,5.364773371288542e-13,1.6780512056948766e-13,1.3713528206537695e-12,3.39999536239606e-13,8.934461631539767e-13
0.99,4.609190215736918e-13,5.36477337152098e-13,1.678051205762529e-13,1.3713528207034387e-12,3.3999953625076063e-13,8.93446163188284e-13
1.0,4.60919021589506e-13,5.364773371705279e-13,1.6780512058161706e-13,1.3713528207428221e-12,3.3999953625960516e-13,8.934461632154862e-13
1.01,4.609190216020452e-13,5.364773371851404e-13,1.6780512058587035e-13,1.3713528207740486e-12,3.3999953626661807e-13,8.934461632370551e-13
1.02,4.609190216119878e-13,5.364773371967266e-13,1.678051205892426e-13,1.3713528207988083e-12,3.3999953627217877e-13,8.934461632541569e-13
1.03,4.609190216198714e-13,5.364773372059141e-13,1.6780512059191668e-13,1.37135282081844e-12,3.3999953627658746e-13,8.93446163267717e-13
