Time,TC1/u (J_per_m3),TC2/u (J_per_m3),TC3/u (J_per_m3),TC4/u (J_per_m3),TC5/u (J_per_m3),TC9/u (J_per_m3)
2.37,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.38,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.39,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.4,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.41,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.42,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.43,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.44,3389.6857165795927,3445.510079180381,3445.510079180381,3498.672503841355,3525.231878304642,4913.195048422551
2.45,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.46,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.47,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
