Time,TC1/v (m3_per_s),TC2/v (m3_per_s),TC3/v (m3_per_s),TC4/v (m3_per_s),TC5/v (m3_per_s),TC9/v (m3_per_s)
1.68,7.466277079813624e-18,8.69022161958452e-18,2.7182204833351577e-18,1.932424427732616e-12,4.791060326285426e-13,1.358450664808639e-12
1.69,7.466277079813624e-18,8.690221619760804e-18,2.718220483390298e-18,1.9324244277402895e-12,4.791060326303431e-13,1.3584506648141657e-12
1.7,7.466277079813624e-18,8.690221619760804e-18,2.718220483390298e-18,1.932424427746927e-12,4.791060326319004e-13,1.3584506648189458e-12
1.71,7.466277079813624e-18,8.69022161958452e-18,2.718220483390298e-18,1.932424427752667e-12,4.791060326332474e-13,1.35845066482308e-12
1.72,7.466277079813624e-18,8.69022161958452e-18,2.7182204833351577e-18,1.932424427757632e-12,4.791060326344123e-13,1.3584506648266554e-12
1.73,7.466277079813624e-18,8.690221619760804e-18,2.718220483390298e-18,1.932424427761926e-12,4.791060326354196e-13,1.3584506648297478e-12
1.74,7.466277079813624e-18,8.690221619760804e-18,2.718220483390298e-18,1.9324244277656385e-12,4.791060326362907e-13,1.358450664832422e-12
1.75,7.466277079813624e-18,8.690221619760804e-18,2.718220483390298e-18,1.9324244277688507e-12,4.791060326370445e-13,1.3584506648347354e-12
1.76,7.466277079813624e-18,8.690221619760804e-18,2.718220483390298e-18,1.9324244277716283e-12,4.791060326376958e-13,1.3584506648367359e-12
1.77,7.466277079813624e-18,8.690221619760804e-18,2.718220483390298e-18,1.9324244277740302e-12,4.791060326382598e-13,1.3584506648384662e-12
1.78,7.466277080114235e-18,8.690221619760804e-18,2.718220483390298e-18,1.9324244277761087e-12,4.791060326387476e-13,1.358450664839963e-12
1.79,7.466277080114235e-18,8.690221619760804e-18,2.718220483390298e-18,1.932424427777906e-12,4.791060326391689e-13,1.3584506648412569e-12
1.8,7.466277080114235e-18,8.690221620113372e-18,2.718220483500578e-18,1.9324244277794606e-12,4.791060326395335e-13,1.3584506648423763e-12
1.81,7.466277080114235e-18,8.690221619760804e-18,2.7182204833351577e-18,1.9324244277808044e-12,4.79106032639849e-13,1.3584506648433442e-12
1.82,7.466277079813624e-18,8.690221619760804e-18,2.7182204833351577e-18,1.932424427781967e-12,4.791060326401213e-13,1.3584506648441817e-12
1.83,7.466277080114235e-18,8.69022161958452e-18,2.7182204833351577e-18,1.9324244277829725e-12,4.791060326403573e-13,1.3584506648449057e-12
1.84,7.466277080114235e-18,8.690221619937088e-18,2.718220483445438e-18,1.9324244277838413e-12,4.791060326405618e-13,1.3584506648455321e-12
1.85,7.466277080114235e-18,8.69022161958452e-18,2.718220483390298e-18,1.9324244277845938e-12,4.791060326407382e-13,1.358450664846074e-12
1.86,7.466277080114235e-18,8.690221620113372e-18,2.718220483500578e-18,1.932424427785245e-12,4.79106032640891e-13,1.3584506648465423e-12
1.87,7.466277080114235e-18,8.690221619760804e-18,2.718220483390298e-18,1.9324244277858075e-12,4.791060326410228e-13,1.3584506648469476e-12
