Time,TC1/v (m3_per_s),TC2/v (m3_per_s),TC3/v (m3_per_s),TC4/v (m3_per_s),TC5/v (m3_per_s),TC9/v (m3_per_s)
1.1300000000000001,4.992033689959458e-13,5.810376260497569e-13,1.8174316442723816e-13,1.2977563453187994e-12,3.2175276041866237e-13,8.885067347768574e-13
1.1400000000000001,4.992033689963269e-13,5.810376260502008e-13,1.8174316442736718e-13,1.2977563453196954e-12,3.21752760418863e-13,8.885067347774896e-13
1.1500000000000001,4.992033689966264e-13,5.810376260505512e-13,1.8174316442746898e-13,1.297756345320403e-12,3.2175276041902163e-13,8.885067347779888e-13
1.16,4.992033689968639e-13,5.810376260508276e-13,1.8174316442754936e-13,1.2977563453209612e-12,3.217527604191469e-13,8.885067347783829e-13
1.17,4.992033689970508e-13,5.810376260510455e-13,1.8174316442761267e-13,1.2977563453214025e-12,3.2175276041924564e-13,8.88506734778694e-13
1.18,4.992033689971981e-13,5.810376260512172e-13,1.8174316442766263e-13,1.2977563453217506e-12,3.217527604193236e-13,8.885067347789396e-13
1.19,4.99203368997316e-13,5.81037626051354e-13,1.817431644277022e-13,1.2977563453220255e-12,3.2175276041938504e-13,8.885067347791334e-13
1.2,4.992033689974073e-13,5.810376260514612e-13,1.8174316442773344e-13,1.2977563453222428e-12,3.2175276041943386e-13,8.885067347792864e-13
1.21,4.992033689974801e-13,5.810376260515458e-13,1.8174316442775812e-13,1.2977563453224134e-12,3.2175276041947213e-13,8.885067347794074e-13
1.22,4.992033689975378e-13,5.810376260516128e-13,1.8174316442777754e-13,1.2977563453225487e-12,3.2175276041950237e-13,8.885067347795028e-13
1.23,4.992033689975829e-13,5.810376260516657e-13,1.8174316442779286e-13,1.297756345322656e-12,3.217527604195263e-13,8.885067347795781e-13
1.24,4.99203368997619e-13,5.810376260517076e-13,1.81743164427805e-13,1.2977563453227398e-12,3.2175276041954523e-13,8.885067347796375e-13
1.25,4.992033689976479e-13,5.810376260517401e-13,1.817431644278145e-13,1.2977563453228064e-12,3.2175276041956003e-13,8.885067347796844e-13
1.26,4.992033689976695e-13,5.810376260517658e-13,1.817431644278221e-13,1.2977563453228591e-12,3.2175276041957194e-13,8.885067347797216e-13
1.27,4.992033689976875e-13,5.810376260517873e-13,1.8174316442782828e-13,1.2977563453229007e-12,3.2175276041958133e-13,8.885067347797508e-13
1.28,4.992033689977014e-13,5.810376260518035e-13,1.817431644278329e-13,1.297756345322933e-12,3.2175276041958855e-13,8.885067347797739e-13
1.29,4.992033689977128e-13,5.810376260518158e-13,1.8174316442783643e-13,1.2977563453229589e-12,3.217527604195943e-13,8.885067347797921e-13
1.3,4.992033689977218e-13,5.810376260518264e-13,1.8174316442783964e-13,1.2977563453229797e-12,3.21752760419599e-13,8.885067347798067e-13
1.31,4.992033689977284e-13,5.810376260518342e-13,1.8174316442784183e-13,1.2977563453229956e-12,3.2175276041960254e-13,8.885067347798178e-13
1.32,4.992033689977326e-13,5.810376260518406e-13,1.817431644278436e-13,1.2977563453230084e-12,3.2175276041960526e-13,8.885067347798269e-13
1.33,4.992033689977374e-13,5.810376260518451e-13,1.8174316442784504e-13,1.2977563453230189e-12,3.217527604196075e-13,8.885067347798339e-13
1.34,4.992033689977405e-13,5.810376260518487e-13,1.8174316442784625e-13,1.2977563453230261e-12,3.217527604196092e-13,8.885067347798394e-13
1.35,4.992033689977441e-13,5.810376260518522e-13,1.8174316442784713e-13,1.2977563453230316e-12,3.2175276041961077e-13,8.88506734779844e-13
1.36,4.992033689977452e-13,5.810376260518546e-13,1.817431644278477e-13,1.2977563453230372e-12,3.217527604196121e-13,8.885067347798475e-13
1.37,4.99203368997747e-13,5.810376260518567e-13,1.8174316442784834e-13,1.2977563453230415e-12,3.2175276041961274e-13,8.885067347798501e-13
1.3800000000000001,4.992033689977488e-13,5.810376260518586e-13,1.817431644278489e-13,1.2977563453230445e-12,3.2175276041961364e-13,8.885067347798522e-13
1.3900000000000001,4.992033689977488e-13,5.810376260518593e-13,1.8174316442784923e-13,1.2977563453230463e-12,3.217527604196139e-13,8.885067347798542e-13
1.4000000000000001,4.9920336899775e-13,5.810376260518607e-13,1.8174316442784943e-13,1.2977563453230488e-12,3.2175276041961445e-13,8.885067347798553e-13
1.41,4.992033689977506e-13,5.81037626051861e-13,1.8174316442784956e-13,1.29775634532305e-12,3.217527604196147e-13,8.885067347798565e-13
1.42,4.992033689977506e-13,5.810376260518614e-13,1.8174316442784966e-13,1.2977563453230512e-12,3.2175276041961496e-13,8.885067347798573e-13
